Name,Family,Max Thickness (%),x-Locationof Max Thickness (%),Camber (%),Data Sources,Cl max,Cl/Cd max,Cd @ Cl=0.1,Cd @ Cl=0.4,Cd @ Cl=0.6
GA 30A620,Riblett 30-series,19,30.1,4.5,JF XF,2.37,101,0.011,0.011,0.012
GA 30U-612,Riblett 30-series,12,30.1,4.5,JF XF,1.74,147,0.006,0.006,0.006
GA 30U-615,Riblett 30-series,15,30.1,4.5,JF XF,1.99,147,0.006,0.006,0.007
GA 30U-618,Riblett 30-series,18,30.1,4.5,JF XF,2.21,142,0.007,0.007,0.007
GA 35-010,Riblett 35-series,10,33.8,0,JF XF,0.91,91,0.005,0.006,0.112
GA 35-011,Riblett 35-series,11,33.8,0,JF XF,0.97,92,0.005,0.006,0.008
GA 35-012,Riblett 35-series,12,33.8,0,JF XF,1.02,95,0.005,0.005,0.007
GA 35-013,Riblett 35-series,13,33.8,0,JF XF,1.08,95,0.005,0.005,0.007
GA 35-014,Riblett 35-series,14,33.8,0,JF XF,1.14,99,0.005,0.005,0.007
GA 35-015,Riblett 35-series,15,33.8,0,JF XF,1.2,97,0.005,0.006,0.007
GA 35-016,Riblett 35-series,16,33.8,0,JF XF,1.26,99,0.005,0.005,0.007
GA 35-017,Riblett 35-series,17,33.8,0,JF XF,1.32,96,0.005,0.006,0.007
GA 35-018,Riblett 35-series,18,33.8,0,JF XF,1.39,97,0.005,0.006,0.006
GA 35-019,Riblett 35-series,19,33.8,0,JF XF,1.46,95,0.005,0.006,0.007
GA 35-020,Riblett 35-series,20,33.8,0,JF XF,1.52,103,0.005,0.006,0.006
GA 35-210,Riblett 35-series,20,30.1,4.5,JF XF,1.15,110,0.004,0.005,0.005
GA 35-211,Riblett 35-series,10,33.8,1.8,JF XF,1.24,113,0.005,0.005,0.005
GA 35-212,Riblett 35-series,12,33.8,1.8,JF XF,1.3,110,0.005,0.005,0.006
GA 35-213,Riblett 35-series,11,33.8,1.8,JF XF,1.35,114,0.005,0.005,0.005
GA 35-214,Riblett 35-series,13,33.8,1.8,JF XF,1.41,117,0.005,0.005,0.006
